,negative,positive,word,
0,8848,5452,i,0.618741259
1,5830,6946,to,0.456324358
2,3298,4727,you,0.410965732
3,77,3045,birthday,0.024663677
4,5414,6392,the,0.458580383
5,4756,5789,and,0.45101944
6,4389,3741,so,0.539852399
7,4509,5434,a,0.453484864
8,3291,2745,my,0.545228628
9,2220,3760,for,0.371237458
10,1818,2630,be,0.408723022
11,2588,1663,im,0.60879793
12,3489,3242,is,0.518347942
13,2797,3503,of,0.443968254
14,2581,1785,me,0.591158956
15,2330,2818,in,0.452602953
16,2675,1991,that,0.573296185
17,2478,2311,it,0.51743579
18,2743,2538,this,0.519409203
19,1175,2541,with,0.316200215
20,1070,1228,love,0.46562228
21,589,1390,day,0.297625063
22,776,1548,your,0.333907057
23,1460,2823,have,0.340882559
24,2596,1575,but,0.622392712
25,1311,1460,are,0.473114399
26,1689,1310,just,0.563187729
27,1473,1756,on,0.456178383
28,1523,1573,was,0.491925065
29,0,0,i'm,#DIV/0!
30,1100,1444,all,0.432389937
31,382,805,hope,0.321819714
32,1464,1016,not,0.590322581
33,888,1228,we,0.419659735
34,516,581,makes,0.470373747
35,1013,1579,at,0.390817901
36,508,693,good,0.422980849
37,428,831,make,0.339952343
38,539,705,as,0.433279743
39,760,798,one,0.487804878
40,769,828,if,0.481527865
41,1147,1088,like,0.513199105
42,1048,832,when,0.557446809
43,822,704,see,0.538663172
44,548,482,am,0.532038835
45,947,787,about,0.546136101
46,656,457,u,0.589398023
47,768,740,what,0.50928382
48,710,683,can,0.509691314
49,869,662,they,0.567602874
50,1238,871,its,0.587008061
51,967,497,he,0.660519126
52,822,614,how,0.572423398
53,971,726,get,0.572186211
54,741,780,do,0.487179487
55,310,427,life,0.420624152
56,658,1049,much,0.385471588
57,802,552,know,0.592319055
58,1097,590,really,0.650266746
59,191,680,great,0.219288175
60,523,421,very,0.554025424
61,520,530,been,0.495238095
62,607,644,will,0.485211831
63,715,707,up,0.50281294
64,766,550,now,0.582066869
65,233,414,best,0.360123648
66,398,664,today,0.374764595
67,545,727,more,0.428459119
68,581,705,from,0.451788491
69,684,609,people,0.52900232
70,340,499,always,0.405244338
71,760,863,out,0.468268638
72,595,698,time,0.460170147
73,491,393,her,0.555429864
74,18,255,bday,0.065934066
75,513,429,got,0.544585987
76,519,974,had,0.347622237
77,132,548,may,0.194117647
78,298,767,our,0.279812207
79,246,436,thank,0.360703812
80,254,677,-,0.272824919
81,458,546,an,0.456175299
82,899,361,miss,0.713492063
83,765,389,dont,0.662911612
84,445,340,she,0.566878981
85,600,308,him,0.660792952
86,356,398,being,0.472148541
87,407,452,would,0.473806752
88,213,502,us,0.297902098
89,918,511,no,0.642407278
90,781,381,want,0.67211704
91,445,454,who,0.494994438
92,497,354,them,0.584018801
93,217,483,new,0.31
94,695,434,go,0.615589017
95,593,345,because,0.632196162
96,468,279,never,0.626506024
97,538,430,or,0.555785124
98,0,0,it's,#DIV/0!
99,685,431,too,0.613799283
100,326,479,by,0.404968944
101,21,168,"happy,",0.111111111
102,436,419,has,0.50994152
103,152,258,girl,0.370731707
104,371,369,back,0.501351351
105,466,287,cant,0.618857902
106,426,447,going,0.487972509
107,52,433,friday,0.107216495
108,668,251,feel,0.72687704
109,265,328,made,0.44688027
110,4,168,"birthday,",0.023255814
111,306,254,man,0.546428571
