id,text
1,Kids Movie Night -   Popcorn &amp; Soda Fun Theater Games For Children by Ta... https://t.co/q4tL0mYgFI via @YouTube
1,Sounds like a fun weekend @WeAreROLI https://t.co/QF7EoYS6hn
1,"@NepuNepugear May I use my meaty shrynge? It'll be fun, n just will hurt a bit"
1,"I'm having fun laughing at NBC but I can't help thinking that their initial report was correct.

Of course, Cohen w… https://t.co/DWGNANy3wy"
1,@smilecorbyn @whydontwemusic HAVE FUN
1,That was fun!! Had a blast speaking this morning at @huetechsummit. Our… https://t.co/WjamiC4oep
1,@mikethecraigy Wouldn’t that be fun. 😂
1,"We used the gladiator games, iconic film scenes and our knowledge of dance to inspire our routines! We had so much… https://t.co/yDgM0rxpTY"
1,Baby Boss- Naughty Baby - Playtime Fun With Baby Boss - Care &amp; Dress Up ... https://t.co/yMf62ByD8C via @YouTube
1,"Had fun at lip sync last night at Pechanga, look forward to Wilson Creek winery Casino night (6pm, pay $20 at door)… https://t.co/KUXZXTz1HT"
1,"To all runners training for the Every Step Counts 5K event, May the 4th be with you! Register for our ESC 5K today… https://t.co/l3C9MTwpen"
1,I added a video to a @YouTube playlist https://t.co/dEusVPYMhG RJ Sunil colour colour kaage story Aunty make fun of RJ Sunil super
1,@NCTsmtown_127 i love u im so glad u had fun i love u
1,"@Owl_ofthewoods That blows, because it’s still fun to do. Just have to run it like a business. Smart choice on sell… https://t.co/ptTyKVtd1K"
1,@shannbil Ill try.  I may look funny walking through the park drinking out of a French press with Little Chickadees… https://t.co/5oidaNFdcG
1,"[ #MTVLAKPOPBTS @BTS_twt #PremiosMTVMiaw ]

BH: “Hey, wanna play a trick on 14.4M ARMY?”

BBMAs: “Sure”

BH: “OK, l… https://t.co/TuOHQz90wK"
1,@Kathryn_MMorris Hope you had fun
1,"""As long as it doesn't kill me, college is a lot of fun."" - L"
1,@KatieBlueprint Your birthday is May the Fourth? That's so rad! Have fun skydiving! :D
1,Fun Girls Games - Stylist Girl - Make Me Gorgeous! Dress Up &amp; Make Up Ga... https://t.co/pzPlu7WAwS via @YouTube
1,@mattveijko You poked the wrong bear It with me. Hahaha. This should be fun. For a while.
1,Working on a new scarf design for our friends @AsburyParkFC just for fun https://t.co/LqvnkHb3mi
1,@EdNixon2 @IanMcFadyen1966 @ResCareTo21 @MAM12CP @Fat_Jacques @baboonbrand Have fun xxxx
1,Sexual appropriation. Fun..... https://t.co/s4tBWUJGs7
1,I like making moments it’s fun finding tweets I forgot existed I’m gonna make another u can’t stop me https://t.co/Joj6wy7y1q
1,"Well that was one of the most fun streams I've ever done!

Very different type of stream and really enjoyed it! You… https://t.co/MLItoA8Mp9"
1,"@waystodawn 1: andres gf so probably a fun time
Now: a fun time and a sweet mutual"
1,When you get to pork a college senior right before his graduation ceremony haha. Now that was a fun &amp; festive morni… https://t.co/aNbwI196Vf
1,Yeah getting screwed at work is fun!
1,Barbie Tingz video is so cute and fun. I love it #NickiDay2
1,"There was a sunlight, it gave me self confidence, I was bored and I made this. I can’t say if I like it or not, but… https://t.co/ST0xZKZ0Sn"
1,"@PFTompkins Hopefully this is actually a Hunger Games fan, but it's more fun to imagine a frustrated VH fan.
""I NEE… https://t.co/O30FJd9ySC"
1,Full of Fun: Unique and Tasty Whoopie Pie Recipes to Try Out https://t.co/oBADuraqzL https://t.co/otcBmXxYNZ
1,@loeber_lucas @ladyguenivere @sarahmaraaa Y’all both need to lighten up. She is in high school. Let her be a kid an… https://t.co/omwoIdeu73
1,This weekend is about to be fun😈
1,@leimer Make flying fun again and a celebration of the simple fact you get from point A to B quicker than any other… https://t.co/tHlrvnte8F
1,Hello and happy Friday @SNICKERS! What about a commercial where a Raichu is cranky and someone says “You’re acting… https://t.co/MKc9iFLxdF
1,@JWEEBLES @Ed_Delacroix @ShannonSharpe opinions as facts is a fun way to converse about sports.
1,At Wild Adventures so fun😜😁
1,@StoolGreenie You’re a dumbo stop making fun of my friend and fuck the pats
1,How fun to see #MayThe4thBeWithYou trending! If you're a fan or want to find out why the love of Star Wars extends… https://t.co/n5tgJ7pFJt
1,@SaratogaSlim @racing_dudes @curtiskalleward @theryanstillman @SkimTheRail You guys have fun! Looking sharp 🕺🏼🕺🏼🕺🏼
1,"Hi everybody I’m a beginner streamer who wants to share his fun experiences with everyone 
Goals this month 
👀Incre… https://t.co/4Ni0RNJzEJ"
1,"@OiMulhern_ Have fun, but take care of yourself!"
1,10miles fun today with my son on his bike.. Spent his time doing stunt skids! 😆 #insetdayouting https://t.co/4IQ91IJ23Y
1,Daddy's Little Helper - Messy Home Fun Adventure -  Care Kids Games   Ed... https://t.co/YVPxWpTznZ via @YouTube
1,@babay_mari Bitch you know it. We’re gonna have so much fun
1,#3 - Langrisser II. I can't say too much about this because the translation patch I had at the time wasn't good. Ho… https://t.co/mdu8i5AJm8
1,"Come and hear some great limericks and make some of your own!! Next Saturday the 12th with live music &amp; poetry, fai… https://t.co/dmpLQ10D1w"
1,"I shouldn’t be stressed every day, it’s not fun"
1,"@brauf33 And being Twitter, shouldn't people be getting outraged about making fun of those who talk with lisps or something?"
1,We are so excited to see you on campus! Have fun! #NWTC #NWTCEagles #FutureEagles https://t.co/9sGhEYUZ7U
1,@HeyYouUpFront @shawncollins @derekensign @KentLansing8 @canbeadick @brockwilliams @lightandshade @DaveHolmesTV… https://t.co/LAKj2QBajV
1,A retweet of someone demanding a remake of Legend of Dragoon crossed my feed this AM and got me fired up for some r… https://t.co/7CIk4O8awx
1,Do you have it? It's sooo fun
1,May the forth be with you. Nerds from all over celebrate this day; TBS is even holding a marathon of Star Wars show… https://t.co/W1ows53Fir
1,Forest fun!  https://t.co/XZ9eSLod4c https://t.co/vrIB7rAK8t
1,"Happy FLEX 💪🏼 Friday 😀 
Grab a friend and do something fun this weekend! @SpartanRace #flexfriday #smile https://t.co/bwaDt7yKn2"
1,@LaSalle_Katie Be Safe! Have Fun Gorgeous!!
1,Some people's lives must be pretty hard to live with if they spend the majority of their time worrying about what s… https://t.co/Wj13RmaKZf
1,@flamingeyeballz Exactly. It's nice for fun. I actually love it when I'm chilling. But not at work.
1,It’s always fun sitting down with @kyle_tman and having a chat. I was never… https://t.co/iiW8Kw5Tt8
1,"I make music for bars, for fun, for competition, for the excitement, for the creation. Why y’all wanna suck the fun out of music."
1,@kobychill fun sized
1,"@ManderSquad @Andrew48732145 @Trigon502 Not everyone knows proper English, I dont make fun of people that cant spea… https://t.co/zfanBoHJZ6"
1,@bookish_notes That's part of the fun!
1,"Reply “1” if I should dye my hair black, “2” if I should keep it brown, or “3” if I should do a funky fun colour li… https://t.co/xnF7QepLcM"
1,this was so much fun to do i think i can officially call myself a https://t.co/RzrXTmEvm2
1,@lustformldhfk we’re all the things we do for fun
1,Well that was a fun day sitting in alder hey! 🤦‍♂️ https://t.co/qoPGlHWnBy
1,"We were working through stuff, I suppose. We would also constantly insult one another. It was great fun. Mostly. An… https://t.co/JwKrdiHiEu"
1,I wanna do my own research:00 for people that need subs in movies so maybe i might start a google survey or somethi… https://t.co/RVBeAakF4h
1,@PlayOverwatch It’s soooooo fun !
1,We have been blown away by the response to our Gondoliers from Scratch. Almost all the female parts have gone but t… https://t.co/BXBPSI9KEM
1,#Friday is here and the #WHCA wants you to join in on our #member-only #FREE #family #gym night.  Bring the #kids d… https://t.co/HlL0jKzcEv
1,"@ssbmzuppy Puff is a selfish character, I’m having fun at the cost of fun for others"
1,@king_adze Jumanji 2017 was more fun &amp; funnier but 1995 jumanji was scary to me maybe beacuse I was young when I watched it.
1,someone talk to me about apex predator pls bc before i heard it i just thought mean girls would be really fun to li… https://t.co/vJWevs1KHd
1,Field Day fun with Atomic Rocket Strike against Mrs. Martin’s class. https://t.co/zhPphqKPTo
1,I think about the end just way too much but it's fun to fantasize
1,"Oh I’m lonely now, that’s fun https://t.co/GK23fdVGcA"
1,@2The_Party So I can't be single and have fun?  You're trash
1,It was fun to celebrate art &amp; the talented students from WA-08 at yesterday’s Congressional Art Competition. It's a… https://t.co/7IRQHPRt7H
1,Shhhh nghhh ahhh mppphhhinstall this app &amp; enjoy unlimited fun videos &amp; manny moore 🔥: https://t.co/jjSLHrAwOw
1,@eversinceluc HAVE FUN
1,Happy May the fourth! Fun Star Wars themed math challenges from @mrs_templeton_1! https://t.co/2XKXbv4LTK
1,"Though i would like Exo to get a public friendly song, i just want this next comeback to be fun for them and not ha… https://t.co/LXFGz41HRs"
1,"TGIF! 
Whether it means the end of a work week, payday, Cinco de Mayo or a fun day. It’s Friday!
Remember to includ… https://t.co/MESDJi0PaO"
1,@offclASTRO Good job genius 😙💜💜💜🎉 have fun
1,"Such a fun story to put together. 

""About two thirds of jobs that are created every year are made up by small busi… https://t.co/9rssMEbyxt"
1,Just a fun shoot I did with friends for May the 4th Be With You.… https://t.co/0AQMkw4VKI
1,"Good friday slaves😎💗come and buy my nudes, pics and vids pay me with paypal and Amazon GF 💵 💰 Kik: bettyrosehot69 k… https://t.co/O5ooCrC1TQ"
1,So proud of all the children who have so far raised just over £500 for @CashforKidsWest Super Hero Day. Great fun d… https://t.co/l17qgj20u3
1,I had a little too much fun with construction property last night. 😆
1,Love to see it. First game of WW2 in a week and a team mate leaves. How fun 🤨
1,Looking for a fun and unique gift for the women in your life? She'll love it and you!! Pick one out https://t.co/08swzdEEtO
1,@TheDevilVaper Have fun https://t.co/5WvFpcVJX7
1,@Tascharoe Was a fun interview! I don't think we grilled him too hard. 😅
1,@jay_riddle @Get_Up @MichelleDBeadle I'm like...this is way less fun to report now.
1,"I always thought being a mom would be fun BUT turns out it’s a full time job, the baby gets sick, they poop and pee… https://t.co/eTqc6RMXn4"
1,@AnfieldHQ @JamesPearceEcho Wouldn't even put him on the bench. The other lads have earned their place in the squad… https://t.co/PelebPv4qx
1,"@bluedevilduke @jtagmire @buttonshy Salacious B. Crumb. Small, agile, fun."
1,eBay: RC Fun Battle Drone In-Flight Drone Battle Set (2 Drones) RFNRFNE0100 https://t.co/lhb8hbchD4
1,"@Rykun_DSZ It's okay! The most important thing is to have fun. These days I only open it to take login bonus, not playing anymore"
1,"Kids Movie Night  - Tons of Fun Theater activities, Game for Children by... https://t.co/sm6c6PdFjF via @YouTube"
1,@Lovelyaaron2 My first thought i hope they had scenes together. 😂 Young Aaron and Dan's character. lol Would be so much fun to see.
1,"“Don’t come too easily, that’s no fun, stay right there.”"
1,Fun lunch to end the week! We worked hard and this was well deserved 👏🏽👏🏽👏🏽 https://t.co/YKMdU4ebMV
1,"@Dinabeanas @LindaS4810 That's ok, Abby doesn't care about Ben that way and I wanna see Marci and Robert in scenes… https://t.co/gdgLA7R9cA"
1,10 Things You Didn't Know About Adolf Hitler https://t.co/NQGdAb2gJt https://t.co/S3Qd6oKAz6
1,"Hope you had an enjoyable week and have fun plans for the weekend ahead. ▪️▪️▪️
I’ll be enjoying the nice weather a… https://t.co/1H6y4EvL09"
1,@gideonburkland @LimitedRunGames @LastRealGamer @ThylaStudios Thousand of hours or a few. I got them both on sale o… https://t.co/Q7ym5nUtj8
1,I need No Fun and I Become Nervous on my spotify playlist please :((
1,reunited with my love @AbbieMayMUA looking after this tired old boat &amp; barnet for such a fun shoot with @eBay_UK to… https://t.co/A0HbyK8Gak
1,"if anyone thinks catching snakes is fun, come on down to my house. we have one hiding in our house!!!"
1,Ainn no cute gay hoes in lex 🙄 like ugh no fun
1,"Granger House had a fantastic winning house treat with a trip to the fun fair at Barrhead! Thanks to Miss Igoe, Mrs… https://t.co/gn9aZJuJkN"
1,Why is working on a beer gut so much more fun than working on a summer body??
1,Pulled a muscle 😖 not fun
1,@CongletonFood We're looking forward to joining in the fun @CongletonFood on Sunday 10th June. #foodie #festival… https://t.co/XAKcXckygR
1,Fun Girls Games - Stylist Girl - Make Me Gorgeous! Dress Up &amp; Make Up Ga... https://t.co/IDqWK6I2ki via @YouTube
1,"May the 4th be with you!
What a weekend line-up.
Costume fun, music, break dancing, Dj-ing, soul jams &amp; #Wrestling… https://t.co/soFjlS00MD"
1,My au is trash but I’m having fun with it https://t.co/RBAEoJZfjL
1,"For everyone going to prom...
1. Please be save idc how nice or fast the car is drive save.
2. Don’t give a fuck wh… https://t.co/hIeu8g4jE2"
1,@amandacstein They are always fun if they coming from you 💘
1,Today’s session is all about chiptunes! Fun with some old school game sounds. #sounddesign #gamedev #indiedev #indiegame #music
1,@NCTsmtown_127 Looking at them having fun makes me so happy TT
1,"This is too much fun for any Star Wars fan. I want to fly to Kashyyyk, home of the Wookies. https://t.co/FR8fvf8qfd… https://t.co/2gjm4QSISX"
1,Every year I tell myself I’ll bake something fun and Star Warsy for May 4th. Almost every year I forget. This year… https://t.co/AqkrHw3JlX
1,Being better at games is fun but its more fun when someone's equal to you
1,I thought we all discovered that girl wasn’t appropriating. She’s literally didn’t make fun of/ says she owns Chine… https://t.co/nmbUyN4Zx9
1,@matthewgmjones What fun lives we lead. The wine will help me survive
1,"Just finished binge watching rv level up s2. Tbh after watching both seasons, I think s1 was a lot better. S2 is al… https://t.co/Logqg0P54f"
1,"@Angelab0424 @ThePatientHeart So I have to ask, what if they want to do the opposite and @ThePatientHeart wants the… https://t.co/PuZvGiCwbX"
1,Here looking for fun. Love to be a cum dump for you...
1,@GetLocoNow What fun is exams if there's no Loco? #loconation https://t.co/0sz6Gr3HGR
1,"@Aggi_89 Yeah!!
Anyway how are you doing? You had fun for your birthday?"
1,@MrsHerreraMac They had so much fun creating it. I'm so proud of their hard work! 😀
1,@Capn__Morgan @AuroraBloomm ...kind of hard for people to do themselves when judgemental assholes come out nowhere… https://t.co/nlgksYrF9V
1,"@NBCNewsTHINK @starwars @anibundel Hell, yeah! So much fun!"
1,@bethereumteam So fun!!!
1,"@DreamySim1 Have fun, but most of all be safe! 🇳🇱🇩🇪"
1,Its about a concertvenue that gave a cowboy and indian themed party for kids. But people went to court because they… https://t.co/iBlXFHxFne
1,"Looking for the perfect Sunday Funday?!
We are now hosting a #Cribbage tournament every Sunday from 2-6pm.

Come by… https://t.co/5HBlROoVP2"
1,"Have you ever been served via zip-line? That’s right, ZIP-LINE! Another fun way to serve your guests. What crazy id… https://t.co/xjs3D3n8jY"
1,@SophieeeeOliver Have fun 💗 x
1,We had lots of fun in the forest during after school club today!  https://t.co/i0HLID30jG https://t.co/3uqQ3xpqXX
1,#DrashtiDhami fun times with her Family!! #Drashti @drashti10 💞💞 https://t.co/3YBYhwRDpi
1,"A few pieces of news: 
1. @nikkibaker and I are now ECDs at Fallon NY
2. We took the pic below to mark the occasion… https://t.co/DwV2WMSNbB"
1,@Omerotaku Fun times? My body is ready
1,This is the reason why I'm totally comfortable when I go to games I don't go there trying to look cute because I kn… https://t.co/apjYaWPy21
1,How to have fun with friends when the Moon is in Capricorn AND conjunct Saturn. Tips welcome.
1,@XRPMichaelB I wish I was laying tile! I have to do it again! That was so fun 😍
1,Being a TA is all fun and games until finals week when you realize you’d rather take the exam yourself than manage all these calls &amp; emails
1,it sounds fun to me :) https://t.co/PV22fzjAgz
1,"@YMDgento Well if you’re trying to have fun, probably console since you can pick up and play most likely. If you’re… https://t.co/XjnIC3je6Y"
1,@TheRaDR Fun discussion...
1,@FrancesWangTV Yesterday I was stuck in a traffic jam for about an hour and I thought it was a shame we didn’t all… https://t.co/CRCUkSqPAx
1,Having a dirty mind makes life much more fun
1,@itsjustme3434 @MSexualhealer I don’t make about perfected... but I did manage to have fun!
1,@emilyszuko I’m a normal person having normal amounts of fun playing normal games normally
1,For real fruity fun in your hand try this app from #Reflex Gaming! https://t.co/vO3eaQNkYg https://t.co/a6wrrNEsvA
1,Now is the perfect time to join #TeamMerrill as a student intern. You will learn about the inner-workings of a poli… https://t.co/fpDwJJLUBx
1,History is about to repeat itself. How fun. https://t.co/iMHXZuP1hE
1,"Always a Happiness😊 &amp; Fun time😉 when these two very very special  @VVSLaxman281 and @IrfanPathan sir...
Keep Smilin… https://t.co/5pV79GjdAh"
1,"In PE today, RHJ used their bodies to make straight shapes and star shapes. We had great fun! https://t.co/Xjih7sOMNK"
1,@_spacecraf_ @AngelAngelopou1 @Puzzlepurse2 @THE_shitface @JRealism @waitfortheQ @CrazzzyKen @LWennbo @satchatz2… https://t.co/nIfMPCXz4Y
1,Y’all steady making fun of my husbands death ☹️☹️☹️ https://t.co/KAQmetdY37
1,"Love this game! So much fun! Watch this in person!
Saturday, May 5th @ 7:30 pm $10/ticket https://t.co/BXbsvX6Rzk"
1,This is going to be so much fun! https://t.co/JPnT1YygsB
1,Pooping liquids are not fun
1,@rosskimes Fun! Kim and I are probably gonna do a directors suite.
1,tinder is fun because it gives you a chance to have the attractive people who would almost definitely reject you pe… https://t.co/R3dj40JQMB
1,For real fruity fun in your hand try this app from #Reflex Gaming! https://t.co/fIp8Ujhl68 https://t.co/9ssnWVxoUb
1,Could’ve sworn just yesterday I met @Danielle_Caylen in the attendance office and she was telling me how fun earthquakes are lmfao
1,New Born Baby Sister Doctor -Fun Care  Kids Games - Fun Newborn Baby Edu... https://t.co/SY5WqAA8iD via @YouTube
1,"Thank you to @SCOREMentors for recognizing my #SmallBusiness in honor of #SmallBusinessWeek!

Thank you to… https://t.co/AOofWUJ7we"
1,@EverettTaylor20 best part about you having fun with this is with one picture i can have you irritated ✋🏼
1,This summer is going to be sooo fun 😍☀️☀️
1,"legit tho, why am i the sad drunk???? that's no fun?????"
1,@Sparkx They always sound like fun but I’ve never had the courage to go 😀
1,Happy birthday Kalie I hope you're having fun in college I miss you sm!!!😭❤ @kalieanderson_ https://t.co/TiVFfN41Vg
1,@engsami88 You are. Stupid  with one eye  so you see  soldger  fun. As insult  to  QATAR flag just it happen to be… https://t.co/2TJeOyjmnm
1,Celebrating the letter Hh with how to writing. We had fun planting seeds too! #ABCcountdown #happyclassrooms… https://t.co/OuYUHyIcTf
1,"#thechase
21
Win
Governess just out of time
🤣😅so much fun today."
1,"@doomcock Have fun with that and don't work too hard 😊 Remember, there is still time to change your ticket to just see Deadpool 2 instead 😉"
1,Lastnight was fun af 😂
1,@latincheol right???!!!! it also didnt help tht i had to hear random ass ppl in line the next day for the day 2 con… https://t.co/DBgVbbqBB0
1,@Sean_Zak @JM_A It’s always fun to watch how new colliers get made
1,so no mcdavid for the SO. He’s gonna stay in the box. should be fun
1,I'm taking part in the Milton Keynes Big Fun Run on the 2nd September- Running 5 K for Cancer Research. Please dona… https://t.co/Rmtd21yfZI
1,@stickyfive @PlayWarframe @Warframe_Forum @SecondWaveElite get the hysteria augment! its so fun!
1,"My coworkers literally can’t take me serious because I have small feet like damn my bad, I’m fun sized. 😂😂"
1,We had fun at the @FNATIC party 😬 https://t.co/0jYvhM5oiq
