,id,text
0,1,"['kids', 'movie', 'night', '-', 'popcorn', '&amp', 'soda', 'fun', 'theater', 'games', 'for', 'children', 'by', 'ta', 'https://t', 'co/q4tl0mygfi', 'via', '@youtube']"
1,1,"['sounds', 'like', 'a', 'fun', 'weekend', '@weareroli', 'https://t', 'co/qf7eoys6hn']"
2,1,"['@nepunepugear', 'may', 'i', 'use', 'my', 'meaty', 'shrynge', ""it'll"", 'be', 'fun,', 'n', 'just', 'will', 'hurt', 'a', 'bit']"
3,1,"[""i'm"", 'having', 'fun', 'laughing', 'at', 'nbc', 'but', 'i', ""can't"", 'help', 'thinking', 'that', 'their', 'initial', 'report', 'was', 'correct', 'of', 'course,', 'cohen', 'w', 'https://t', 'co/dwgnany3wy']"
4,1,"['@smilecorbyn', '@whydontwemusic', 'have', 'fun']"
5,1,"['that', 'was', 'fun', 'had', 'a', 'blast', 'speaking', 'this', 'morning', 'at', '@huetechsummit', 'our', 'https://t', 'co/wjamic4oep']"
6,1,"['@mikethecraigy', 'wouldnt', 'that', 'be', 'fun']"
7,1,"['we', 'used', 'the', 'gladiator', 'games,', 'iconic', 'film', 'scenes', 'and', 'our', 'knowledge', 'of', 'dance', 'to', 'inspire', 'our', 'routines', 'we', 'had', 'so', 'much', 'https://t', 'co/ydgm0rxpty']"
8,1,"['baby', 'boss-', 'naughty', 'baby', '-', 'playtime', 'fun', 'with', 'baby', 'boss', '-', 'care', '&amp', 'dress', 'up', 'https://t', 'co/ymf62byd8c', 'via', '@youtube']"
9,1,"['had', 'fun', 'at', 'lip', 'sync', 'last', 'night', 'at', 'pechanga,', 'look', 'forward', 'to', 'wilson', 'creek', 'winery', 'casino', 'night', '(6pm,', 'pay', '$20', 'at', 'door)', 'https://t', 'co/kuxzxtz1ht']"
10,1,"['to', 'all', 'runners', 'training', 'for', 'the', 'every', 'step', 'counts', '5k', 'event,', 'may', 'the', '4th', 'be', 'with', 'you', 'register', 'for', 'our', 'esc', '5k', 'today', 'https://t', 'co/l3c9mtwpen']"
11,1,"['i', 'added', 'a', 'video', 'to', 'a', '@youtube', 'playlist', 'https://t', 'co/deusvpymhg', 'rj', 'sunil', 'colour', 'colour', 'kaage', 'story', 'aunty', 'make', 'fun', 'of', 'rj', 'sunil', 'super']"
12,1,"['@nctsmtown_127', 'i', 'love', 'u', 'im', 'so', 'glad', 'u', 'had', 'fun', 'i', 'love', 'u']"
13,1,"['@owl_ofthewoods', 'that', 'blows,', 'because', 'its', 'still', 'fun', 'to', 'do', 'just', 'have', 'to', 'run', 'it', 'like', 'a', 'business', 'smart', 'choice', 'on', 'sell', 'https://t', 'co/pttykvtd1k']"
14,1,"['@shannbil', 'ill', 'try', 'i', 'may', 'look', 'funny', 'walking', 'through', 'the', 'park', 'drinking', 'out', 'of', 'a', 'french', 'press', 'with', 'little', 'chickadees', 'https://t', 'co/5oidanfdcg']"
15,1,"['[', 'mtvlakpopbts', '@bts_twt', 'premiosmtvmiaw', ']', 'bh:', 'hey,', 'wanna', 'play', 'a', 'trick', 'on', '14', '4m', 'army', 'bbmas:', 'sure', 'bh:', 'ok,', 'l', 'https://t', 'co/tuohqz90wk']"
16,1,"['@kathryn_mmorris', 'hope', 'you', 'had', 'fun']"
17,1,"['as', 'long', 'as', 'it', ""doesn't"", 'kill', 'me,', 'college', 'is', 'a', 'lot', 'of', 'fun', '-', 'l']"
18,1,"['@katieblueprint', 'your', 'birthday', 'is', 'may', 'the', 'fourth', ""that's"", 'so', 'rad', 'have', 'fun', 'skydiving', ':d']"
19,1,"['fun', 'girls', 'games', '-', 'stylist', 'girl', '-', 'make', 'me', 'gorgeous', 'dress', 'up', '&amp', 'make', 'up', 'ga', 'https://t', 'co/pzplu7waws', 'via', '@youtube']"
20,1,"['@mattveijko', 'you', 'poked', 'the', 'wrong', 'bear', 'it', 'with', 'me', 'hahaha', 'this', 'should', 'be', 'fun', 'for', 'a', 'while']"
21,1,"['working', 'on', 'a', 'new', 'scarf', 'design', 'for', 'our', 'friends', '@asburyparkfc', 'just', 'for', 'fun', 'https://t', 'co/lqvnkhb3mi']"
22,1,"['@ednixon2', '@ianmcfadyen1966', '@rescareto21', '@mam12cp', '@fat_jacques', '@baboonbrand', 'have', 'fun', 'xxxx']"
23,1,"['sexual', 'appropriation', 'fun', 'https://t', 'co/s4tbwujgs7']"
24,1,"['i', 'like', 'making', 'moments', 'its', 'fun', 'finding', 'tweets', 'i', 'forgot', 'existed', 'im', 'gonna', 'make', 'another', 'u', 'cant', 'stop', 'me', 'https://t', 'co/joj6wy7y1q']"
25,1,"['well', 'that', 'was', 'one', 'of', 'the', 'most', 'fun', 'streams', ""i've"", 'ever', 'done', 'very', 'different', 'type', 'of', 'stream', 'and', 'really', 'enjoyed', 'it', 'you', 'https://t', 'co/mlitoa8mp9']"
26,1,"['@waystodawn', '1:', 'andres', 'gf', 'so', 'probably', 'a', 'fun', 'time', 'now:', 'a', 'fun', 'time', 'and', 'a', 'sweet', 'mutual']"
27,1,"['when', 'you', 'get', 'to', 'pork', 'a', 'college', 'senior', 'right', 'before', 'his', 'graduation', 'ceremony', 'haha', 'now', 'that', 'was', 'a', 'fun', '&amp', 'festive', 'morni', 'https://t', 'co/anbwi196vf']"
28,1,"['yeah', 'getting', 'screwed', 'at', 'work', 'is', 'fun']"
29,1,"['barbie', 'tingz', 'video', 'is', 'so', 'cute', 'and', 'fun', 'i', 'love', 'it', 'nickiday2']"
30,1,"['there', 'was', 'a', 'sunlight,', 'it', 'gave', 'me', 'self', 'confidence,', 'i', 'was', 'bored', 'and', 'i', 'made', 'this', 'i', 'cant', 'say', 'if', 'i', 'like', 'it', 'or', 'not,', 'but', 'https://t', 'co/st0xzkz0sn']"
31,1,"['@pftompkins', 'hopefully', 'this', 'is', 'actually', 'a', 'hunger', 'games', 'fan,', 'but', ""it's"", 'more', 'fun', 'to', 'imagine', 'a', 'frustrated', 'vh', 'fan', 'i', 'nee', 'https://t', 'co/o30fjd9ysc']"
32,1,"['full', 'of', 'fun:', 'unique', 'and', 'tasty', 'whoopie', 'pie', 'recipes', 'to', 'try', 'out', 'https://t', 'co/obaduraqzl', 'https://t', 'co/otcbmxxynz']"
33,1,"['@loeber_lucas', '@ladyguenivere', '@sarahmaraaa', 'yall', 'both', 'need', 'to', 'lighten', 'up', 'she', 'is', 'in', 'high', 'school', 'let', 'her', 'be', 'a', 'kid', 'an', 'https://t', 'co/omwoideu73']"
34,1,"['this', 'weekend', 'is', 'about', 'to', 'be', 'fun']"
35,1,"['@leimer', 'make', 'flying', 'fun', 'again', 'and', 'a', 'celebration', 'of', 'the', 'simple', 'fact', 'you', 'get', 'from', 'point', 'a', 'to', 'b', 'quicker', 'than', 'any', 'other', 'https://t', 'co/thlrvnte8f']"
36,1,"['hello', 'and', 'happy', 'friday', '@snickers', 'what', 'about', 'a', 'commercial', 'where', 'a', 'raichu', 'is', 'cranky', 'and', 'someone', 'says', 'youre', 'acting', 'https://t', 'co/mkc9iflxdf']"
37,1,"['@jweebles', '@ed_delacroix', '@shannonsharpe', 'opinions', 'as', 'facts', 'is', 'a', 'fun', 'way', 'to', 'converse', 'about', 'sports']"
38,1,"['at', 'wild', 'adventures', 'so', 'fun']"
39,1,"['@stoolgreenie', 'youre', 'a', 'dumbo', 'stop', 'making', 'fun', 'of', 'my', 'friend', 'and', 'fuck', 'the', 'pats']"
40,1,"['how', 'fun', 'to', 'see', 'maythe4thbewithyou', 'trending', 'if', ""you're"", 'a', 'fan', 'or', 'want', 'to', 'find', 'out', 'why', 'the', 'love', 'of', 'star', 'wars', 'extends', 'https://t', 'co/n5tgj7pfjt']"
41,1,"['@saratogaslim', '@racing_dudes', '@curtiskalleward', '@theryanstillman', '@skimtherail', 'you', 'guys', 'have', 'fun', 'looking', 'sharp']"
42,1,"['hi', 'everybody', 'im', 'a', 'beginner', 'streamer', 'who', 'wants', 'to', 'share', 'his', 'fun', 'experiences', 'with', 'everyone', 'goals', 'this', 'month', 'incre', 'https://t', 'co/4ni0rnjzej']"
43,1,"['@oimulhern_', 'have', 'fun,', 'but', 'take', 'care', 'of', 'yourself']"
44,1,"['10miles', 'fun', 'today', 'with', 'my', 'son', 'on', 'his', 'bike', 'spent', 'his', 'time', 'doing', 'stunt', 'skids', 'insetdayouting', 'https://t', 'co/4iq91ij23y']"
45,1,"[""daddy's"", 'little', 'helper', '-', 'messy', 'home', 'fun', 'adventure', '-', 'care', 'kids', 'games', 'ed', 'https://t', 'co/yvpxwptznz', 'via', '@youtube']"
46,1,"['@babay_mari', 'bitch', 'you', 'know', 'it', 'were', 'gonna', 'have', 'so', 'much', 'fun']"
47,1,"['3', '-', 'langrisser', 'ii', 'i', ""can't"", 'say', 'too', 'much', 'about', 'this', 'because', 'the', 'translation', 'patch', 'i', 'had', 'at', 'the', 'time', ""wasn't"", 'good', 'ho', 'https://t', 'co/mdu8i5ajm8']"
48,1,"['come', 'and', 'hear', 'some', 'great', 'limericks', 'and', 'make', 'some', 'of', 'your', 'own', 'next', 'saturday', 'the', '12th', 'with', 'live', 'music', '&amp', 'poetry,', 'fai', 'https://t', 'co/dmplq10d1w']"
49,1,"['i', 'shouldnt', 'be', 'stressed', 'every', 'day,', 'its', 'not', 'fun']"
50,1,"['@brauf33', 'and', 'being', 'twitter,', ""shouldn't"", 'people', 'be', 'getting', 'outraged', 'about', 'making', 'fun', 'of', 'those', 'who', 'talk', 'with', 'lisps', 'or', 'something']"
51,1,"['we', 'are', 'so', 'excited', 'to', 'see', 'you', 'on', 'campus', 'have', 'fun', 'nwtc', 'nwtceagles', 'futureeagles', 'https://t', 'co/9sgheyuz7u']"
52,1,"['@heyyouupfront', '@shawncollins', '@derekensign', '@kentlansing8', '@canbeadick', '@brockwilliams', '@lightandshade', '@daveholmestv', 'https://t', 'co/lakj2qbajv']"
53,1,"['a', 'retweet', 'of', 'someone', 'demanding', 'a', 'remake', 'of', 'legend', 'of', 'dragoon', 'crossed', 'my', 'feed', 'this', 'am', 'and', 'got', 'me', 'fired', 'up', 'for', 'some', 'r', 'https://t', 'co/7cik4o8awx']"
54,1,"['do', 'you', 'have', 'it', ""it's"", 'sooo', 'fun']"
55,1,"['may', 'the', 'forth', 'be', 'with', 'you', 'nerds', 'from', 'all', 'over', 'celebrate', 'this', 'day', 'tbs', 'is', 'even', 'holding', 'a', 'marathon', 'of', 'star', 'wars', 'show', 'https://t', 'co/w1ows53fir']"
56,1,"['forest', 'fun', 'https://t', 'co/xz9eslod4c', 'https://t', 'co/vrib7rak8t']"
57,1,"['happy', 'flex', 'friday', 'grab', 'a', 'friend', 'and', 'do', 'something', 'fun', 'this', 'weekend', '@spartanrace', 'flexfriday', 'smile', 'https://t', 'co/bwadt7ykn2']"
58,1,"['@lasalle_katie', 'be', 'safe', 'have', 'fun', 'gorgeous']"
59,1,"['some', ""people's"", 'lives', 'must', 'be', 'pretty', 'hard', 'to', 'live', 'with', 'if', 'they', 'spend', 'the', 'majority', 'of', 'their', 'time', 'worrying', 'about', 'what', 's', 'https://t', 'co/wj13rmakzf']"
60,1,"['@flamingeyeballz', 'exactly', ""it's"", 'nice', 'for', 'fun', 'i', 'actually', 'love', 'it', 'when', ""i'm"", 'chilling', 'but', 'not', 'at', 'work']"
61,1,"['its', 'always', 'fun', 'sitting', 'down', 'with', '@kyle_tman', 'and', 'having', 'a', 'chat', 'i', 'was', 'never', 'https://t', 'co/iiw8kw5tt8']"
62,1,"['i', 'make', 'music', 'for', 'bars,', 'for', 'fun,', 'for', 'competition,', 'for', 'the', 'excitement,', 'for', 'the', 'creation', 'why', 'yall', 'wanna', 'suck', 'the', 'fun', 'out', 'of', 'music']"
63,1,"['@kobychill', 'fun', 'sized']"
64,1,"['@mandersquad', '@andrew48732145', '@trigon502', 'not', 'everyone', 'knows', 'proper', 'english,', 'i', 'dont', 'make', 'fun', 'of', 'people', 'that', 'cant', 'spea', 'https://t', 'co/zfanbohjz6']"
65,1,"['@bookish_notes', ""that's"", 'part', 'of', 'the', 'fun']"
66,1,"['reply', '1', 'if', 'i', 'should', 'dye', 'my', 'hair', 'black,', '2', 'if', 'i', 'should', 'keep', 'it', 'brown,', 'or', '3', 'if', 'i', 'should', 'do', 'a', 'funky', 'fun', 'colour', 'li', 'https://t', 'co/xnf7qeplcm']"
67,1,"['this', 'was', 'so', 'much', 'fun', 'to', 'do', 'i', 'think', 'i', 'can', 'officially', 'call', 'myself', 'a', 'https://t', 'co/rzrxtmevm2']"
68,1,"['@lustformldhfk', 'were', 'all', 'the', 'things', 'we', 'do', 'for', 'fun']"
69,1,"['well', 'that', 'was', 'a', 'fun', 'day', 'sitting', 'in', 'alder', 'hey', 'https://t', 'co/qopglhwnby']"
70,1,"['we', 'were', 'working', 'through', 'stuff,', 'i', 'suppose', 'we', 'would', 'also', 'constantly', 'insult', 'one', 'another', 'it', 'was', 'great', 'fun', 'mostly', 'an', 'https://t', 'co/jwkrdihieu']"
71,1,"['i', 'wanna', 'do', 'my', 'own', 'research:00', 'for', 'people', 'that', 'need', 'subs', 'in', 'movies', 'so', 'maybe', 'i', 'might', 'start', 'a', 'google', 'survey', 'or', 'somethi', 'https://t', 'co/rvbeaakf4h']"
72,1,"['@playoverwatch', 'its', 'soooooo', 'fun']"
73,1,"['we', 'have', 'been', 'blown', 'away', 'by', 'the', 'response', 'to', 'our', 'gondoliers', 'from', 'scratch', 'almost', 'all', 'the', 'female', 'parts', 'have', 'gone', 'but', 't', 'https://t', 'co/bxbpsi9kem']"
74,1,"['friday', 'is', 'here', 'and', 'the', 'whca', 'wants', 'you', 'to', 'join', 'in', 'on', 'our', 'member-only', 'free', 'family', 'gym', 'night', 'bring', 'the', 'kids', 'd', 'https://t', 'co/hll0jkzcev']"
75,1,"['@ssbmzuppy', 'puff', 'is', 'a', 'selfish', 'character,', 'im', 'having', 'fun', 'at', 'the', 'cost', 'of', 'fun', 'for', 'others']"
76,1,"['@king_adze', 'jumanji', '2017', 'was', 'more', 'fun', '&amp', 'funnier', 'but', '1995', 'jumanji', 'was', 'scary', 'to', 'me', 'maybe', 'beacuse', 'i', 'was', 'young', 'when', 'i', 'watched', 'it']"
77,1,"['someone', 'talk', 'to', 'me', 'about', 'apex', 'predator', 'pls', 'bc', 'before', 'i', 'heard', 'it', 'i', 'just', 'thought', 'mean', 'girls', 'would', 'be', 'really', 'fun', 'to', 'li', 'https://t', 'co/vjwevs1khd']"
78,1,"['field', 'day', 'fun', 'with', 'atomic', 'rocket', 'strike', 'against', 'mrs', 'martins', 'class', 'https://t', 'co/zhpphqkpto']"
79,1,"['i', 'think', 'about', 'the', 'end', 'just', 'way', 'too', 'much', 'but', ""it's"", 'fun', 'to', 'fantasize']"
80,1,"['oh', 'im', 'lonely', 'now,', 'thats', 'fun', 'https://t', 'co/gk23fdvgca']"
81,1,"['@2the_party', 'so', 'i', ""can't"", 'be', 'single', 'and', 'have', 'fun', ""you're"", 'trash']"
82,1,"['it', 'was', 'fun', 'to', 'celebrate', 'art', '&amp', 'the', 'talented', 'students', 'from', 'wa-08', 'at', 'yesterdays', 'congressional', 'art', 'competition', ""it's"", 'a', 'https://t', 'co/7irqhprt7h']"
83,1,"['shhhh', 'nghhh', 'ahhh', 'mppphhhinstall', 'this', 'app', '&amp', 'enjoy', 'unlimited', 'fun', 'videos', '&amp', 'manny', 'moore', ':', 'https://t', 'co/jjslhrawow']"
