frequency,word
6305.0,the
5379.0,to
4882.0,a
4716.0,and
4167.0,i
3208.0,of
3066.0,for
2998.0,you
2685.0,is
2662.0,have
2427.0,in
2091.0,with
2066.0,this
1952.0,it
1949.0,so
1774.0,be
1509.0,on
1502.0,at
1457.0,my
1351.0,was
1350.0,that
1115.0,but
1109.0,we
1106.0,are
1089.0,all
1081.0,your
978.0,much
934.0,had
861.0,just
860.0,like
818.0,me
798.0,-
790.0,out
752.0,some
752.0,its
720.0,day
713.0,it's
709.0,having
707.0,our
695.0,not
639.0,do
618.0,as
607.0,more
598.0,if
581.0,when
580.0,about
577.0,up
570.0,time
554.0,from
547.0,make
524.0,what
523.0,get
516.0,"fun,"
516.0,love
513.0,they
509.0,im
501.0,one
497.0,today
488.0,can
486.0,will
483.0,great
473.0,weekend
461.0,people
424.0,an
420.0,may
419.0,no
410.0,how
409.0,by
392.0,see
391.0,i'm
388.0,night
382.0,us
380.0,really
380.0,good
378.0,new
378.0,happy
359.0,going
356.0,or
352.0,go
349.0,friday
345.0,join
344.0,game
343.0,hope
343.0,come
343.0,who
341.0,kids
339.0,know
332.0,always
332.0,games
331.0,last
330.0,now
327.0,would
320.0,he
317.0,too
315.0,has
306.0,been
301.0,there
288.0,don't
280.0,@youtube
279.0,way
277.0,making
272.0,via
271.0,thank
266.0,think
263.0,want
260.0,got
254.0,their
254.0,thanks
252.0,little
249.0,dont
249.0,back
249.0,lot
248.0,these
247.0,were
245.0,play
241.0,being
234.0,u
230.0,here
230.0,them
227.0,looking
226.0,tonight
226.0,everyone
225.0,watch
224.0,should
224.0,her
223.0,family
223.0,work
218.0,lol
216.0,week
215.0,very
214.0,because
214.0,first
208.0,made
207.0,looks
205.0,summer
203.0,also
201.0,she
200.0,only
199.0,even
198.0,why
198.0,enjoy
197.0,well
195.0,most
194.0,fact
194.0,something
193.0,friends
193.0,still
193.0,other
192.0,star
191.0,check
190.0,next
188.0,am
186.0,video
185.0,gonna
185.0,fact:
185.0,need
184.0,tomorrow
182.0,take
180.0,show
179.0,things
175.0,look
172.0,off
172.0,than
172.0,playing
172.0,life
171.0,then
171.0,while
170.0,did
167.0,best
166.0,his
166.0,2
164.0,year
164.0,such
163.0,over
162.0,lots
161.0,you're
160.0,try
160.0,free
160.0,real
159.0,guys
158.0,doing
156.0,team
156.0,could
155.0,sure
154.0,super
154.0,miss
154.0,wars
152.0,baby
151.0,live
