id,text
1,Happy birthday big bro
1,Happy birthday Shimika Brown ❣️🎁🎊🎉
1,Happy Birthday!!!🎂🎈 My son!!😍#MamaBendecida🙏 https://t.co/MAWQLNqqqk
1,oooooo ya girl is so happy rn https://t.co/kcGXJQLtab
1,@WillieGeist sweet castle br0. happy bday
1,Happy Valley hero puts basketball world in a spin https://t.co/EOY3NWANCk
1,@offl_Lawrence I wish very happy birthday mom......
1,@mariportsa happy birthday queen 🙈
1,Happy Interpreter Day @toniterp. SEBI appreciates all you do @DeafCanCoffee @EcoFarmsJa @SEBIjm
1,new music i’m so happy
1,Never been so happy https://t.co/yLMESm7zgs
1,@biannagolodryga Melania has never looks happy when she is with him.
1,@sasosoltan happy birthday smasemo y amaar🎊💞💞
1,I added a video to a @YouTube playlist https://t.co/lyXraRuuwo Happy Pretty - 03 Indonesia
1,@corndawg21 Happy Birthday angel love! Welcome to the 30 club!😘
1,"peter parker and gamora are both bisexual just like me, i’m so happy https://t.co/VXCzPXS7wN"
1,"If some level 1 ended up shipping logs to some crooks to make Sillicon Valley insane-o-rent, people wouldn’t be hap… https://t.co/JKXOvImhNs"
1,@kiyaaaCerillo happy birthday 🎈💗
1,It's always great hearing from happy customers! Show your support for small businesses like ours by sharing your re… https://t.co/VVB8Rkm36R
1,Happy birthday to meeee omyghad ❤️
1,"@oscar_thorpe Nah, didn’t even get to canvas much but I’m so happy for the team"
1,i havent been this genuinely happy in months 😊😊
1,#MakeAMetallicaSongSofter saint happy
1,@gia_marie_m I’m so happy💙😁
1,@neeleshmisra Wishing you a very happy birthday! May your voice keep spreading the magic.
1,"I’ll never get tired of this , makes  me unbelievably happy https://t.co/LPHInLnpFb"
1,This a man who took the ball and ran with it. Makes me so happy seeing him be successful outside of the WWE. https://t.co/Q8opIDPb7G
1,@cassmutt You've got a good core group of friends that would do anything for you. Honestly watching you go thru tha… https://t.co/mGWLabzrDk
1,@JonGiacomelli @writerconclave @CharlesWaechter - Happy to have you in my community :)
1,"Happy birthday, Shinichi"
1,Just realised that PENTAGON - Shine is in Melon Top 100 💓💓💓 Hui &amp; PTGN deserve that (and tbh I dont think its their… https://t.co/R4IBfjqmDD
1,- ima be happy regardless of what coulda shoulda or wouldaaa
1,Happy cuz my checks gonna be dummy fat this summer 🤑
1,Workout and trust the program bak kata my coaches. I am physically getting better by the week and I am happy la I'm… https://t.co/cRGOvu13jm
1,@BetyX1 @Lovely49200223 @cruise_egyptfan @dinushi11 @TomCruise @szilviade_ @demelzac @tina446tina @BigFanMovies… https://t.co/i61ny4bf6h
1,"Back in my happy place, you know why? Grace got me!! https://t.co/Q7bpwJKqwJ via @youtube"
1,@hyunlixed @yjeongnis shhh this will be a kong &amp; happy ride 😇
1,I added a video to a @YouTube playlist https://t.co/ZPQuXCHlYs Happy Pretty - 10 Pesona Dihati
1,"Fri, 04 May 2018, let us all send Megu Fujiura the best Happy Birthday wishes today (#cebiday) (29)"
1,@BarbraStreisand Happy happy Birthday Miss Fanny I love you ❤️😘💕 🐾🐾
1,"@curhatanayana SNL (saturday night live) , wanna city , happy together (gak full team) , sugarman"
1,"Well hello, Apple News update that lets me read the full headline. So happy to see you."
1,@lace_tess @TropALDUBMENDEZ @AMInaticsOFC @EsteehveeSusan @malousalamat @Sakitan_Squad @OctNov_0503… https://t.co/93QgpALM1k
1,@CMcConihe happy birthday Caseward!! Told ya I would find a classic 🎉❤️ #fifththirdbank https://t.co/AhIfaHXKFx
