,id,text
0,1,"['happy', 'birthday', 'big', 'bro']"
1,1,"['happy', 'birthday', 'shimika', 'brown']"
2,1,"['happy', 'birthday', 'my', 'son', 'mamabendecida', 'https://t', 'co/mawqlnqqqk']"
3,1,"['oooooo', 'ya', 'girl', 'is', 'so', 'happy', 'rn', 'https://t', 'co/kcgxjqltab']"
4,1,"['@williegeist', 'sweet', 'castle', 'br0', 'happy', 'bday']"
5,1,"['happy', 'valley', 'hero', 'puts', 'basketball', 'world', 'in', 'a', 'spin', 'https://t', 'co/eoy3nwanck']"
6,1,"['@offl_lawrence', 'i', 'wish', 'very', 'happy', 'birthday', 'mom']"
7,1,"['@mariportsa', 'happy', 'birthday', 'queen']"
8,1,"['happy', 'interpreter', 'day', '@toniterp', 'sebi', 'appreciates', 'all', 'you', 'do', '@deafcancoffee', '@ecofarmsja', '@sebijm']"
9,1,"['new', 'music', 'im', 'so', 'happy']"
10,1,"['never', 'been', 'so', 'happy', 'https://t', 'co/ylmesm7zgs']"
11,1,"['@biannagolodryga', 'melania', 'has', 'never', 'looks', 'happy', 'when', 'she', 'is', 'with', 'him']"
12,1,"['@sasosoltan', 'happy', 'birthday', 'smasemo', 'y', 'amaar']"
13,1,"['i', 'added', 'a', 'video', 'to', 'a', '@youtube', 'playlist', 'https://t', 'co/lyxraruuwo', 'happy', 'pretty', '-', '03', 'indonesia']"
14,1,"['@corndawg21', 'happy', 'birthday', 'angel', 'love', 'welcome', 'to', 'the', '30', 'club']"
15,1,"['peter', 'parker', 'and', 'gamora', 'are', 'both', 'bisexual', 'just', 'like', 'me,', 'im', 'so', 'happy', 'https://t', 'co/vxczpxs7wn']"
16,1,"['if', 'some', 'level', '1', 'ended', 'up', 'shipping', 'logs', 'to', 'some', 'crooks', 'to', 'make', 'sillicon', 'valley', 'insane-o-rent,', 'people', 'wouldnt', 'be', 'hap', 'https://t', 'co/jkxovimhns']"
17,1,"['@kiyaaacerillo', 'happy', 'birthday']"
18,1,"[""it's"", 'always', 'great', 'hearing', 'from', 'happy', 'customers', 'show', 'your', 'support', 'for', 'small', 'businesses', 'like', 'ours', 'by', 'sharing', 'your', 're', 'https://t', 'co/vvb8rkm36r']"
19,1,"['happy', 'birthday', 'to', 'meeee', 'omyghad']"
20,1,"['@oscar_thorpe', 'nah,', 'didnt', 'even', 'get', 'to', 'canvas', 'much', 'but', 'im', 'so', 'happy', 'for', 'the', 'team']"
21,1,"['i', 'havent', 'been', 'this', 'genuinely', 'happy', 'in', 'months']"
22,1,"['makeametallicasongsofter', 'saint', 'happy']"
23,1,"['@gia_marie_m', 'im', 'so', 'happy']"
24,1,"['@neeleshmisra', 'wishing', 'you', 'a', 'very', 'happy', 'birthday', 'may', 'your', 'voice', 'keep', 'spreading', 'the', 'magic']"
25,1,"['ill', 'never', 'get', 'tired', 'of', 'this', ',', 'makes', 'me', 'unbelievably', 'happy', 'https://t', 'co/lphinlnpfb']"
26,1,"['this', 'a', 'man', 'who', 'took', 'the', 'ball', 'and', 'ran', 'with', 'it', 'makes', 'me', 'so', 'happy', 'seeing', 'him', 'be', 'successful', 'outside', 'of', 'the', 'wwe', 'https://t', 'co/q8opidpb7g']"
27,1,"['@cassmutt', ""you've"", 'got', 'a', 'good', 'core', 'group', 'of', 'friends', 'that', 'would', 'do', 'anything', 'for', 'you', 'honestly', 'watching', 'you', 'go', 'thru', 'tha', 'https://t', 'co/mgwlabzrdk']"
28,1,"['@jongiacomelli', '@writerconclave', '@charleswaechter', '-', 'happy', 'to', 'have', 'you', 'in', 'my', 'community', ':)']"
29,1,"['happy', 'birthday,', 'shinichi']"
30,1,"['just', 'realised', 'that', 'pentagon', '-', 'shine', 'is', 'in', 'melon', 'top', '100', 'hui', '&amp', 'ptgn', 'deserve', 'that', '(and', 'tbh', 'i', 'dont', 'think', 'its', 'their', 'https://t', 'co/r4ibfjqmdd']"
31,1,"['-', 'ima', 'be', 'happy', 'regardless', 'of', 'what', 'coulda', 'shoulda', 'or', 'wouldaaa']"
32,1,"['happy', 'cuz', 'my', 'checks', 'gonna', 'be', 'dummy', 'fat', 'this', 'summer']"
33,1,"['workout', 'and', 'trust', 'the', 'program', 'bak', 'kata', 'my', 'coaches', 'i', 'am', 'physically', 'getting', 'better', 'by', 'the', 'week', 'and', 'i', 'am', 'happy', 'la', ""i'm"", 'https://t', 'co/crgovu13jm']"
34,1,"['@betyx1', '@lovely49200223', '@cruise_egyptfan', '@dinushi11', '@tomcruise', '@szilviade_', '@demelzac', '@tina446tina', '@bigfanmovies', 'https://t', 'co/i61ny4bf6h']"
