frequency,word
6419.0,i
5509.0,the
5255.0,to
4352.0,and
4278.0,a
3687.0,so
3256.0,is
2684.0,you
2597.0,that
2550.0,of
2442.0,this
2108.0,it
2036.0,im
1956.0,in
1907.0,my
1882.0,but
1816.0,for
1729.0,me
1593.0,be
1311.0,just
1260.0,was
1201.0,its
1153.0,are
1124.0,have
1120.0,on
1089.0,not
965.0,when
921.0,i'm
921.0,he
914.0,really
883.0,with
883.0,about
880.0,all
875.0,like
774.0,they
761.0,it's
756.0,at
752.0,we
722.0,how
679.0,see
671.0,get
662.0,people
660.0,your
651.0,what
624.0,as
613.0,if
612.0,know
591.0,no
588.0,very
561.0,one
556.0,now
541.0,makes
537.0,do
535.0,day
524.0,because
517.0,up
508.0,will
507.0,dont
504.0,his
500.0,out
498.0,feel
492.0,"sad,"
482.0,am
470.0,can
466.0,or
461.0,time
449.0,from
437.0,go
436.0,why
416.0,her
415.0,even
412.0,who
406.0,think
404.0,has
397.0,him
392.0,don't
390.0,more
385.0,been
385.0,an
383.0,she
369.0,still
368.0,love
367.0,had
365.0,make
359.0,never
356.0,some
350.0,happy
349.0,good
346.0,there
336.0,would
331.0,too
324.0,cant
323.0,them
322.0,only
318.0,got
315.0,being
309.0,want
308.0,our
306.0,:(
302.0,thats
299.0,going
297.0,their
296.0,life
289.0,@realdonaldtrump
286.0,by
277.0,man
269.0,much
267.0,today
259.0,thing
257.0,always
252.0,say
252.0,true
247.0,u
241.0,last
241.0,then
239.0,-
238.0,someone
233.0,right
233.0,shit
232.0,way
232.0,made
225.0,can't
225.0,that's
224.0,many
222.0,lol
219.0,were
219.0,these
215.0,news
211.0,year
211.0,such
211.0,back
207.0,actually
205.0,same
205.0,over
203.0,gonna
202.0,need
200.0,did
199.0,than
194.0,here
187.0,youre
187.0,ever
186.0,after
186.0,little
184.0,bad
182.0,harvey
178.0,kinda
177.0,great
176.0,also
175.0,work
175.0,could
171.0,again
170.0,look
169.0,us
168.0,oh
167.0,hope
167.0,didnt
165.0,hear
164.0,you're
163.0,off
162.0,best
160.0,miss
159.0,end
159.0,part
159.0,watch
159.0,fucking
159.0,bc
156.0,said
154.0,well
153.0,better
152.0,trump
151.0,feeling
150.0,friends
150.0,new
150.0,come
149.0,world
148.0,person
148.0,every
146.0,most
145.0,take
145.0,thought
144.0,something
144.0,down
143.0,hate
143.0,pretty
143.0,other
142.0,ive
141.0,should
138.0,first
137.0,sorry
137.0,story
136.0,real
135.0,video
134.0,watching
134.0,any
134.0,times
134.0,those
134.0,live
133.0,old
132.0,where
132.0,stop
129.0,making
127.0,things
126.0,wow
126.0,left
125.0,into
124.0,please
123.0,t
123.0,away
121.0,everyone
121.0,years
121.0,another
120.0,matt
119.0,lot
118.0,find
116.0,getting
116.0,hes
115.0,before
115.0,","
114.0,2
113.0,literally
113.0,went
112.0,lost
112.0,home
112.0,though
111.0,cause
111.0,while
110.0,remember
109.0,kind
108.0,probably
108.0,wish
108.0,talk
108.0,didn't
108.0,song
107.0,two
107.0,seeing
107.0,show
107.0,yall
107.0,trying
107.0,school
