id,text
1,Why does my stupid stomach keep playing up on me? :(
1,if anyone boos my boo ever again while he’s batting I will singlehandedly ruin your life dont u ever treat ohtani like that again &gt;:(
1,my wifes boyfriend took my nintendo switch away from me :(
1,I've been trying to set up a tip animation for OBS but I just can't seem to figure it out :( Can anyone help?
1,isnt the first kiss with someone magical — I don’t know :( https://t.co/YoC7C5pxa6
1,@ReptaleSSB And you won't play me either :(
1,its only been 3 hours but i miss lynn :((
1,@SkullTrooperGuy @WGreatnessW Nooo!!!! I never win a giveaway :( 💀💀
1,@febiemarieee THANK YOU FEBS!!! MISS U NA :(
1,Answer is unknown .. we will never be able to figure out the age now :( lmao
1,@yungfilmz Sammeeee riiip :(
1,@cuddleboii_ @nopenotyourguy I'M sorry beh :(( HAHA
1,i just watched Roman proposed to Brittney and its one of the purest things ive seen among all of the other proposal… https://t.co/0jg3WYagHJ
1,because you’re my friend :( https://t.co/MDa5lEzLEj
1,currently watching aou and i miss jarvis so much :(((
1,@nationsqt YES IM POSITIVE :( I-I WOULD KNOW THE YEAR I WAS BORN I EVEN KNOW THE TIME!
1,Can't wait to be with you again :(
1,bound to happen eventually but i'm actually so upset : (
1,"hindi na iv yon! iii na lang :( charot labyu unique, we'll support you anyways :"") https://t.co/b94r4xZ4VZ"
1,@uItmrktuan Yeah haha I know I saw that :(( but the lucky draw part I'm so-
1,#Feeling #Happy #And #Well 143 143 143 😇 😍 😎👍 🙏🏻 👏❤️💛💜🧡💚💙🖤💓💗💖💘💝💞💕143 143 143 :) :-) ;) ;-) (-; (; (-: (: 143 143 14… https://t.co/A7w4Dz40bZ
1,@Okbabyyt Oh no :( its like everyone’s getting sick right now it’s horrible
1,They're scared of Tsuna now :(
1,"ugh
my
spacbar
broke
so
i
have
to
type
like
this
&gt;:("
1,WEEWIN :(((( https://t.co/wn6DXTtXvL
1,@emeyyappan Sad but true .... Feel the void and need of strong leader moreover now we realize impt of the leaders w… https://t.co/AtaFiuYUWL
1,@hectr_franco :( help hector
1,I just ran into my crush from junior year and he lowkey glo’d up from the last time I saw him :((
1,im over thinking this way too much :((
1,"@vobonation I will come over there and feed u istg, go eat smthg and it better not be fries &gt;:("
1,@j0s3finaf yeah i know i was so upset :-((( but no same emilia can do NO wrong imma be there and imma still love the movie LOL
1,@hannahkik I’m sad seeing these :(
1,@ryanmorganjade not yet :(
1,@YUQIGDLE Cause nobody ask me to eat :(
1,@godlyoongi thanks honey bee! this means a lot :-( 💜
1,Anyone wanna hang I’m bored and alone :(
1,i wanna go to the movies :( or like have a picnic :( someone hmu w/plans
1,i wish i didn't have boobs!!! i miss being able to lay on my front side and walk down the stairs w/o clutching my chest :(
1,@luuvergirl You can have mine these bitches get in the way of doing perfect eyeliner :(
1,bwct :( https://t.co/QYwnFC7tz9
1,i really hope all my mutuals get tickets you all deserve it :(
