,id,text
0,1,"['why', 'does', 'my', 'stupid', 'stomach', 'keep', 'playing', 'up', 'on', 'me', ':(']"
1,1,"['if', 'anyone', 'boos', 'my', 'boo', 'ever', 'again', 'while', 'hes', 'batting', 'i', 'will', 'singlehandedly', 'ruin', 'your', 'life', 'dont', 'u', 'ever', 'treat', 'ohtani', 'like', 'that', 'again', '&gt', ':(']"
2,1,"['my', 'wifes', 'boyfriend', 'took', 'my', 'nintendo', 'switch', 'away', 'from', 'me', ':(']"
3,1,"[""i've"", 'been', 'trying', 'to', 'set', 'up', 'a', 'tip', 'animation', 'for', 'obs', 'but', 'i', 'just', ""can't"", 'seem', 'to', 'figure', 'it', 'out', ':(', 'can', 'anyone', 'help']"
4,1,"['isnt', 'the', 'first', 'kiss', 'with', 'someone', 'magical', 'i', 'dont', 'know', ':(', 'https://t', 'co/yoc7c5pxa6']"
5,1,"['@reptalessb', 'and', 'you', ""won't"", 'play', 'me', 'either', ':(']"
6,1,"['its', 'only', 'been', '3', 'hours', 'but', 'i', 'miss', 'lynn', ':((']"
7,1,"['@skulltrooperguy', '@wgreatnessw', 'nooo', 'i', 'never', 'win', 'a', 'giveaway', ':(']"
8,1,"['@febiemarieee', 'thank', 'you', 'febs', 'miss', 'u', 'na', ':(']"
9,1,"['answer', 'is', 'unknown', 'we', 'will', 'never', 'be', 'able', 'to', 'figure', 'out', 'the', 'age', 'now', ':(', 'lmao']"
10,1,"['@yungfilmz', 'sammeeee', 'riiip', ':(']"
11,1,"['@cuddleboii_', '@nopenotyourguy', ""i'm"", 'sorry', 'beh', ':((', 'haha']"
12,1,"['i', 'just', 'watched', 'roman', 'proposed', 'to', 'brittney', 'and', 'its', 'one', 'of', 'the', 'purest', 'things', 'ive', 'seen', 'among', 'all', 'of', 'the', 'other', 'proposal', 'https://t', 'co/0jg3wyaghj']"
13,1,"['because', 'youre', 'my', 'friend', ':(', 'https://t', 'co/mda5lezlej']"
14,1,"['currently', 'watching', 'aou', 'and', 'i', 'miss', 'jarvis', 'so', 'much', ':(((']"
15,1,"['@nationsqt', 'yes', 'im', 'positive', ':(', 'i-i', 'would', 'know', 'the', 'year', 'i', 'was', 'born', 'i', 'even', 'know', 'the', 'time']"
16,1,"[""can't"", 'wait', 'to', 'be', 'with', 'you', 'again', ':(']"
17,1,"['bound', 'to', 'happen', 'eventually', 'but', ""i'm"", 'actually', 'so', 'upset', ':', '(']"
18,1,"['hindi', 'na', 'iv', 'yon', 'iii', 'na', 'lang', ':(', 'charot', 'labyu', 'unique,', ""we'll"", 'support', 'you', 'anyways', ':', ')', 'https://t', 'co/b94r4xz4vz']"
19,1,"['@uitmrktuan', 'yeah', 'haha', 'i', 'know', 'i', 'saw', 'that', ':((', 'but', 'the', 'lucky', 'draw', 'part', ""i'm"", 'so-']"
20,1,"['feeling', 'happy', 'and', 'well', '143', '143', '143', '143', '143', '143', ':)', ':-)', ')', '-)', '(-', '(', '(-:', '(:', '143', '143', '14', 'https://t', 'co/a7w4dz40bz']"
21,1,"['@okbabyyt', 'oh', 'no', ':(', 'its', 'like', 'everyones', 'getting', 'sick', 'right', 'now', 'its', 'horrible']"
22,1,"[""they're"", 'scared', 'of', 'tsuna', 'now', ':(']"
23,1,"['ugh', 'my', 'spacbar', 'broke', 'so', 'i', 'have', 'to', 'type', 'like', 'this', '&gt', ':(']"
24,1,"['weewin', ':((((', 'https://t', 'co/wn6dxttxvl']"
25,1,"['@emeyyappan', 'sad', 'but', 'true', 'feel', 'the', 'void', 'and', 'need', 'of', 'strong', 'leader', 'moreover', 'now', 'we', 'realize', 'impt', 'of', 'the', 'leaders', 'w', 'https://t', 'co/atafiuyuwl']"
26,1,"['@hectr_franco', ':(', 'help', 'hector']"
27,1,"['i', 'just', 'ran', 'into', 'my', 'crush', 'from', 'junior', 'year', 'and', 'he', 'lowkey', 'glod', 'up', 'from', 'the', 'last', 'time', 'i', 'saw', 'him', ':((']"
28,1,"['im', 'over', 'thinking', 'this', 'way', 'too', 'much', ':((']"
29,1,"['@vobonation', 'i', 'will', 'come', 'over', 'there', 'and', 'feed', 'u', 'istg,', 'go', 'eat', 'smthg', 'and', 'it', 'better', 'not', 'be', 'fries', '&gt', ':(']"
30,1,"['@j0s3finaf', 'yeah', 'i', 'know', 'i', 'was', 'so', 'upset', ':-(((', 'but', 'no', 'same', 'emilia', 'can', 'do', 'no', 'wrong', 'imma', 'be', 'there', 'and', 'imma', 'still', 'love', 'the', 'movie', 'lol']"
31,1,"['@hannahkik', 'im', 'sad', 'seeing', 'these', ':(']"
32,1,"['@ryanmorganjade', 'not', 'yet', ':(']"
33,1,"['@yuqigdle', 'cause', 'nobody', 'ask', 'me', 'to', 'eat', ':(']"
34,1,"['@godlyoongi', 'thanks', 'honey', 'bee', 'this', 'means', 'a', 'lot', ':-(']"
35,1,"['anyone', 'wanna', 'hang', 'im', 'bored', 'and', 'alone', ':(']"
36,1,"['i', 'wanna', 'go', 'to', 'the', 'movies', ':(', 'or', 'like', 'have', 'a', 'picnic', ':(', 'someone', 'hmu', 'w/plans']"
37,1,"['i', 'wish', 'i', ""didn't"", 'have', 'boobs', 'i', 'miss', 'being', 'able', 'to', 'lay', 'on', 'my', 'front', 'side', 'and', 'walk', 'down', 'the', 'stairs', 'w/o', 'clutching', 'my', 'chest', ':(']"
38,1,"['@luuvergirl', 'you', 'can', 'have', 'mine', 'these', 'bitches', 'get', 'in', 'the', 'way', 'of', 'doing', 'perfect', 'eyeliner', ':(']"
39,1,"['bwct', ':(', 'https://t', 'co/qywnfc7tz9']"
40,1,"['i', 'really', 'hope', 'all', 'my', 'mutuals', 'get', 'tickets', 'you', 'all', 'deserve', 'it', ':(']"
41,1,"['@marcuslemonis', 'i', 'ordered', 'a', 't-shirt', 'from', 'jetset', 'during', 'the', 'giveaways', 'back', 'in', 'november,', 'my', 'boyfriend', 'got', 'his', 'but', 'i', 'ne', 'https://t', 'co/qwftoq1kux']"
42,1,"['i', 'cant', 'wait', 'for', 'ramadan', 'nights', 'with', 'my', 'best', 'friends', ':(']"
43,1,"['@sadistmommy', 'hold', 'my', 'hand', ':(((']"
44,1,"['malakhai', 'really', 'wants', 'to', 'test', 'out', 'my', 'patience', '(-:', '(-:', '(-:', '(-:']"
45,1,"['sorry', 'im', 'a', 'hoe', '@imightbenaomi', ':((((', 'https://t', 'co/hloerxhmbd']"
46,1,"['can', 'it', 'be', 'september', 'already', ':(']"
47,1,"['@tunnaaayyy', '@_sgonzales_', 'pa-email', 'please', ':((']"
48,1,"['one', 'week', 'since', 'the', 'happiest', 'day', 'of', 'my', 'life', ':(', 'https://t', 'co/bqx3ehuioo']"
49,1,"['greys', 'preview', 'for', 'next', 'week', 'was', 'the', 'saddest', ':(((((']"
50,1,"['hala', 'i', 'miss', 'yuehua', 'boys', 'i', 'think', 'ang', 'tagal', 'na', 'nitong', 'vid', 'na', 'to', 'bc', 'quanzhe', 'is', 'wearing', 'the', 'green', 'parka', ':((', 'also', 'fan', 'c', 'https://t', 'co/0oxgubzqal']"
51,1,"[""can't"", 'dm', 'u', 'talagaaa', 'whyyyyyy', ':-(', 'whyyyyy', 'https://t', 'co/8szcvww9c3']"
52,1,"['@ahmaddzulhaziq', 'tu', 'la', ':(', 'hope', 'i', 'can', 'choose', 'tho', ':(']"
53,1,"[""what's"", 'hard', 'for', 'them', 'is', 'hard', 'for', 'them', ""what's"", 'hard', 'for', 'you', 'is', 'hard', 'for', 'you', 'stress', 'is', 'neither', 'a', 'medal', 'nor', 'a', 'compe', 'https://t', 'co/gt3jflwo1d']"
54,1,"['i', 'feel', 'myself', 'getting', 'sick', ':(']"
55,1,"['i', 'love', 'you', 'with', 'all', 'my', 'heart', 'i', 'love', 'you', 'too', ':(', 'https://t', 'co/bd6hvclg34']"
56,1,"['i', 'am', 'so', 'sorry', '@lucypaw,', 'i', ""don't"", 'know', 'how', 'they', 'found', 'you', 'but', 'i', 'assume', 'it', 'was', 'through', 'me', ':-(']"
57,1,"['i', 'want', 'some', 'harolds', ':(']"
58,1,"['@b0hemianrhaps', '@westerns_sq', 'why', 'always', 'bambang', ':(']"
59,1,"['@lizzo', 'you', 'were', 'incredible', 'wish', 'u', 'had', 'stopped', 'outside', ':(']"
60,1,"['@gamaray13', 'hope', 'you', 'feel', 'less', 'sick', 'alberto,', 'and', ""i'm"", 'sorry', ""you're"", 'depressed', 'today', ':(', 'sending', 'good', 'vibes']"
61,1,"['@nikittysan', 'you', 'dropped', 'it', 'oh', 'no', ':((']"
62,1,"['donovan', 'mitchell', ':(', 'https://t', 'co/rvtn8nuhpt']"
63,1,"['uniaoarmyseexol', 'bro', 'soy', 'army-l', ':(']"
64,1,"['@officiallivepd', 'i', 'am', 'disappointed', 'its', 'not', 'live', 'in', 'ca', 'anymore', ':(']"
65,1,"['@lolkookie', 'aww', 'no,', ""don't"", 'cry', ':(']"
66,1,"['i', 'just', 'remembered', 'the', 'time', 'when', 'wonho', 'still', 'performed', 'even', 'though', 'he', 'had', 'a', 'fever', ':(((', 'he', 'loves', 'monbebes', 'so', 'much', 'i', 'h', 'https://t', 'co/lzqs8cswvb']"
67,1,"['i', 'kinda', 'wanna', 'talk', 'with', 'my', 'mutuals', 'but', 'im', 'awkward', 'and', 'shy', ':(']"
68,1,"['but', 'his', 'beauty', ""didn't"", 'allow', 'me', 'to', ':(']"
69,1,"['@yoonsyeri', 'thank', 'u', 'i', 'love', 'u', ':(']"
70,1,"['i', 'love', 'shane', 'so', 'much', 'i', 'dont', 'deserve', 'him', ':(']"
71,1,"['i', 'wish', 'humans', 'cared', 'about', 'the', 'environment', 'more,', 'its', 'a', 'shame', ':(']"
72,1,"['@kapishmanicka24', '@world_wide_wob', 'she', 'friendzoned', 'him', ':(', 'i', 'thought', 'they', 'would', 'be', 'a', 'good', 'couple', 'too', 'and', 'then', 'she', 'said', 'https://t', 'co/zhyppdpidk']"
