,frequency,word
0,5011.0,i
1,4987.0,to
2,4335.0,you
3,3824.0,birthday
4,3761.0,the
5,3657.0,and
6,3238.0,so
7,3162.0,a
8,2409.0,my
9,2135.0,for
10,1826.0,be
11,1720.0,im
12,1686.0,is
13,1661.0,of
14,1590.0,me
15,1412.0,in
16,1369.0,that
17,1289.0,it
18,1275.0,this
19,1235.0,with
20,1101.0,love
21,1098.0,day
22,1041.0,your
23,1017.0,have
24,918.0,but
25,872.0,are
26,870.0,just
27,823.0,on
28,820.0,was
29,795.0,i'm
30,794.0,all
31,703.0,hope
32,642.0,not
33,634.0,we
34,607.0,makes
35,565.0,at
36,544.0,good
37,544.0,make
38,540.0,as
39,534.0,one
40,525.0,if
41,520.0,like
42,518.0,when
43,505.0,see
44,451.0,am
45,444.0,about
46,441.0,u
47,436.0,what
48,418.0,can
49,417.0,they
50,409.0,its
51,407.0,he
52,403.0,how
53,401.0,get
54,393.0,do
55,392.0,life
56,388.0,much
57,386.0,know
58,385.0,really
59,380.0,great
60,360.0,very
61,360.0,been
62,360.0,will
63,357.0,up
64,355.0,now
65,355.0,best
66,354.0,today
67,352.0,more
68,346.0,from
69,338.0,people
70,335.0,always
71,330.0,out
72,320.0,time
73,315.0,her
74,314.0,bday
75,314.0,got
76,312.0,had
77,302.0,may
78,302.0,our
79,293.0,thank
80,288.0,-
81,281.0,an
82,278.0,miss
83,275.0,dont
84,274.0,she
85,268.0,him
86,264.0,being
87,264.0,would
88,261.0,us
89,248.0,no
90,248.0,want
91,246.0,who
92,240.0,them
93,238.0,new
94,237.0,go
95,231.0,because
96,227.0,never
97,224.0,or
98,223.0,it's
99,222.0,too
100,220.0,by
101,219.0,"happy,"
102,219.0,has
103,216.0,girl
104,215.0,back
105,211.0,cant
106,210.0,going
107,205.0,friday
108,205.0,feel
109,204.0,made
110,204.0,"birthday,"
111,198.0,man
112,197.0,think
113,196.0,his
114,194.0,wish
115,192.0,here
116,192.0,only
117,192.0,youre
118,191.0,everyone
119,186.0,star
120,186.0,year
121,184.0,heart
122,184.0,some
123,184.0,well
124,183.0,were
125,183.0,there
126,180.0,still
127,178.0,thanks
128,177.0,say
129,177.0,even
130,177.0,look
131,176.0,friends
132,175.0,god
133,174.0,beautiful
134,174.0,enjoy
135,173.0,why
136,169.0,bro
137,166.0,many
138,164.0,:)
139,164.0,right
140,163.0,amazing
141,163.0,don't
142,162.0,you're
143,160.0,first
144,160.0,little
145,158.0,ever
146,156.0,could
147,156.0,wars
148,153.0,their
149,151.0,baby
150,149.0,again
151,149.0,hour
152,149.0,years
153,148.0,keep
154,147.0,then
155,147.0,lol
156,145.0,did
157,143.0,than
158,143.0,things
159,142.0,sad
160,141.0,finally
161,141.0,need
162,141.0,work
163,140.0,morning
164,140.0,way
165,139.0,ive
166,138.0,please
167,135.0,seeing
168,135.0,making
169,134.0,also
170,132.0,home
171,129.0,let
172,129.0,big
173,129.0,gonna
174,127.0,days
175,127.0,someone
176,127.0,over
177,123.0,last
178,123.0,","
179,122.0,most
180,122.0,such
181,122.0,help
182,121.0,world
